strategy,n,iteration,total_ms,per_task_ms,success_count,error_count
sequential_rpc,10.00,0.000,38.71,3.871,10.00,0.000
sequential_rpc,10.00,1.000,36.65,3.665,10.00,0.000
sequential_rpc,50.00,0.000,163.2,3.265,50.00,0.000
sequential_rpc,50.00,1.000,100.1,2.002,50.00,0.000
parallel_rpc,10.00,0.000,24.60,2.460,10.00,0.000
parallel_rpc,10.00,1.000,9.792,0.979,10.00,0.000
parallel_rpc,50.00,0.000,42.14,0.843,50.00,0.000
parallel_rpc,50.00,1.000,38.54,0.771,50.00,0.000
batched_update,10.00,0.000,5.868,0.587,10.00,0.000
batched_update,10.00,1.000,11.71,1.171,10.00,0.000
batched_update,50.00,0.000,14.34,0.287,50.00,0.000
batched_update,50.00,1.000,14.52,0.290,50.00,0.000
bulk_rpc,10.00,0.000,6.289,0.629,10.00,0.000
bulk_rpc,10.00,1.000,4.680,0.468,10.00,0.000
bulk_rpc,50.00,0.000,7.860,0.157,50.00,0.000
bulk_rpc,50.00,1.000,7.638,0.153,50.00,0.000
