strategy,n,iteration,mean_ms,p50_ms,p95_ms,p99_ms,stddev_ms,total_ms,per_task_ms,success_count,error_count
batched_update,10.00,5.000,5.494,5.428,6.120,6.220,0.445,5.494,0.549,50.00,0.000
batched_update,100.0,5.000,12.22,12.07,13.82,13.97,1.187,12.22,0.122,500.0,0.000
batched_update,50.00,5.000,7.987,7.566,9.461,9.675,0.996,7.987,0.160,250.0,0.000
batched_update,500.0,5.000,2.386,2.213,4.172,4.461,1.219,2.386,0.005,0.000,2500.0
bulk_rpc,10.00,5.000,3.486,3.458,3.756,3.783,0.200,3.486,0.349,50.00,0.000
bulk_rpc,100.0,5.000,8.481,7.779,11.00,11.53,1.645,8.481,0.085,500.0,0.000
bulk_rpc,50.00,5.000,5.807,5.705,6.645,6.742,0.601,5.807,0.116,250.0,0.000
bulk_rpc,500.0,5.000,23.05,22.02,25.44,25.52,1.887,23.05,0.046,2500.0,0.000
parallel_rpc,10.00,5.000,11.20,11.91,15.02,15.53,2.924,11.20,1.120,50.00,0.000
parallel_rpc,100.0,5.000,96.01,83.56,121.1,122.3,18.92,96.01,0.960,500.0,0.000
parallel_rpc,50.00,5.000,81.09,68.59,133.0,142.3,34.12,81.09,1.622,250.0,0.000
parallel_rpc,500.0,5.000,516.9,515.7,555.2,557.1,36.06,516.9,1.034,1407.0,1093.0
sequential_rpc,10.00,5.000,31.05,32.85,34.27,34.31,3.335,31.05,3.105,50.00,0.000
sequential_rpc,100.0,5.000,275.2,231.4,429.1,454.4,101.6,275.2,2.752,500.0,0.000
sequential_rpc,50.00,5.000,111.8,109.7,121.8,123.9,6.549,111.8,2.235,250.0,0.000
sequential_rpc,500.0,5.000,1041.3,986.2,1175.3,1179.9,104.1,1041.3,2.083,2500.0,0.000
